n_agents,k_extra,delay_ms,rounds,total_commits,fp_count,fp_rate,vm_count,success_count,success_rate
4,-1,500,200,800,0,0.0000,0,800,1.0000
4,0,500,200,800,0,0.0000,0,800,1.0000
4,1,500,200,800,800,1.0000,0,0,0.0000
4,2,500,200,800,800,1.0000,0,0,0.0000
4,3,500,200,800,800,1.0000,0,0,0.0000
8,-1,500,200,1600,800,0.5000,0,800,0.5000
8,0,500,200,1600,800,0.5000,0,800,0.5000
8,1,500,200,1600,1600,1.0000,0,0,0.0000
8,2,500,200,1600,1600,1.0000,0,0,0.0000
8,3,500,200,1600,1600,1.0000,0,0,0.0000
16,-1,500,200,3200,1600,0.5000,0,1600,0.5000
16,0,500,200,3200,1600,0.5000,0,1600,0.5000
16,1,500,200,3200,3200,1.0000,0,0,0.0000
16,2,500,200,3200,3200,1.0000,0,0,0.0000
16,3,500,200,3200,3200,1.0000,0,0,0.0000
